,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
35,BPT,1.560 ,2.30%,0.035 AUD,Neutral,12.6M,19.656M AUD,2.225B USD,−10.03%,8.88,0.12 USD,—
36,BRG,25.23 ,8.98%,2.08 AUD,Strong Buy,1.695M,42.775M AUD,2.116B USD,5.27%,33.45,0.52 USD,—
37,BSL,21.27 ,3.45%,0.71 AUD,Strong Buy,1.891M,40.22M AUD,5.996B USD,14.45%,5.78,2.53 USD,6.7K
38,BBW,3.55 ,0.85%,0.03 AUD,Sell,2.946M,10.459M AUD,1.448B USD,−14.36%,62.17,0.04 USD,—
39,BXB,14.06 ,−0.07%,−0.01 AUD,Neutral,2.127M,29.912M AUD,12.515B USD,8.68%,21.93,0.44 USD,12K
40,CAR,27.06 ,−3.01%,−0.84 AUD,Buy,1.689M,45.693M AUD,6.73B USD,36.18%,15.02,1.20 USD,1.8K
41,CBA,98.45 ,−0.61%,−0.60 AUD,Sell,2.651M,261.024M AUD,106.193B USD,−2.38%,17.45,3.99 USD,49.454K
42,CEN,7.56 ,−5.38%,−0.43 AUD,Sell,1.683K,12.723K AUD,3.893B USD,10.46%,50.70,0.10 USD,1.242K
43,CGF,6.62 ,−1.63%,−0.11 AUD,Sell,1.577M,10.438M AUD,2.948B USD,0.64%,17.45,0.28 USD,817
44,CHC,10.77 ,3.56%,0.37 AUD,Neutral,3.086M,33.235M AUD,3.15B USD,−19.13%,8.39,0.89 USD,—
45,CHN,4.92 ,−1.20%,−0.06 AUD,Sell,1.761M,8.662M AUD,1.236B USD,17.15%,—,−0.12 USD,—
46,CIA,5.57 ,1.46%,0.08 AUD,Sell,1.192M,6.639M AUD,1.818B USD,4.99%,15.18,0.25 USD,—
47,CCI,3.02 ,−0.66%,−0.02 AUD,Sell,1.73M,5.223M AUD,1.236B USD,−0.65%,—,−0.08 USD,—
48,CCL,3.52 ,−0.28%,−0.01 AUD,Sell,1M,3.52M AUD,1.634B USD,−20.85%,—,−0.17 USD,—
49,CNU,7.52 ,−2.72%,−0.21 AUD,Strong Sell,585.898K,4.406M AUD,2.162B USD,7.99%,131.88,0.04 USD,799
50,COH,265.86 ,1.59%,4.16 AUD,Strong Buy,201.459K,53.56M AUD,11.002B USD,19.36%,58.28,3.05 USD,4.8K
51,COL,17.23 ,−0.40%,−0.07 AUD,Strong Sell,2.142M,36.904M AUD,14.825B USD,−10.50%,20.12,0.58 USD,120K
52,CPU,24.69 ,−0.12%,−0.03 AUD,Buy,1.311M,32.363M AUD,9.555B USD,1.35%,22.62,0.73 USD,—
53,CCQ,3.39 ,−1.74%,−0.06 AUD,Sell,1.193M,4.043M AUD,1.284B USD,−14.39%,52.15,0.04 USD,—
54,CRN,1.555 ,−0.32%,−0.005 AUD,Sell,732.833K,1.14M AUD,1.674B USD,—,4.32,0.24 USD,1.735K
55,CSL,266.86 ,−1.37%,−3.71 AUD,Sell,672.087K,179.353M AUD,83.563B USD,−8.05%,38.63,4.62 USD,32K
